,DWT_mean,DWT_std,DWT_energy,DWT_median,DWT_skewness,DWT_kurtosis,Label
0.000565,7.70211E-05,0.000510162,0.00066443,2.0619E-07,5.25502998,30.26016845,0
-0.00029,5.7283E-05,0.000471633,0.000563394,3.93713E-07,4.672920641,30.06184399,0
0.000672,7.83862E-05,0.000534228,0.000727694,-5.19E-07,5.515372475,33.33476412,0
0.000626,7.06091E-05,0.000504822,0.000648537,-8.18E-07,5.426075581,32.84720945,0
0.000603,5.32373E-05,0.000447695,0.00050735,5.75538E-07,5.60709628,38.68321802,0
0.000394,6.5921E-05,0.000484805,0.000597495,7.16963E-07,5.903807651,40.06050128,0
-0.000102,6.14508E-05,0.000464693,0.00054841,9.28369E-07,5.597302211,36.28729945,0
0.000044,7.68917E-05,0.000519253,0.000687738,2.42519E-07,5.873901117,38.43122741,0
0.000341,6.01953E-05,0.000473214,0.000567978,9.18202E-07,5.68427751,38.25986359,0
0.0006,6.32902E-05,0.000461982,0.000542713,3.07998E-07,5.613074519,36.55526025,0
0.000097,5.88256E-05,0.000461071,0.000539253,1.01588E-06,5.479634172,36.34795524,0
-0.000249,6.27993E-05,0.000466169,0.000552258,-8.14E-07,5.653528291,37.0928108,0
0.000771,8.60881E-05,0.000613337,0.000957448,-1.12E-06,6.54873789,43.52060213,1
0.000601,8.33936E-05,0.000515266,0.000680045,-1.61E-06,6.257250088,39.11338111,1
-0.000441,5.53103E-05,0.000539483,0.000734076,-2.98E-06,5.497973342,41.85201601,1
0.000006,7.68435E-05,0.000581911,0.000859934,-1.98E-06,6.539782353,45.00517705,1
-0.000579,4.8163E-05,0.000655328,0.00107771,-2.48E-06,5.658050696,50.4766749,1
0.000882,6.85868E-05,0.000646663,0.001055502,-2.65E-06,5.455646233,39.47850287,1
0.000557,8.33183E-05,0.00070979,0.001274816,-1.68E-06,7.179236277,59.90677703,1
0.000805,6.18127E-05,0.000667142,0.001120453,-9.31E-07,5.817473483,46.55095213,1
0.000167,7.37498E-05,0.00050413,0.000647926,-1.80E-07,6.482694686,44.77212862,1
0.000854,7.77618E-05,0.000554377,0.000782199,1.38433E-06,6.229381665,41.66238481,1
0.000537,5.60164E-05,0.000521927,0.000687763,1.29276E-06,5.689902128,40.58141743,1
-0.00065,5.59361E-05,0.000610257,0.000937354,7.38037E-07,4.590563044,39.87582356,1
0.000078,6.0384E-05,0.000395028,0.000398595,1.30543E-06,5.938876037,36.74971721,0
0.00005,6.23417E-05,0.000373455,0.000357814,2.024E-06,5.587748471,32.79537615,0
0.000461,5.71472E-05,0.000359598,0.000330911,-1.00E-07,5.482738627,31.67493474,0
0.000565.1,7.36152E-05,0.000450567,0.00052024,9.52689E-07,5.696040317,33.89905999,0
0.000387,4.38196E-05,0.000303417,0.00023458,-2.10E-07,5.333713684,32.66313609,0
0.000131,7.20944E-05,0.00042911,0.000472576,-6.98E-07,5.509193673,31.43618981,0
0.000649,5.83386E-05,0.00039393,0.000395827,-1.33E-06,6.046851123,41.00030907,0
0.000396,7.9981E-05,0.000469477,0.000566107,8.96754E-07,5.469253534,30.48463432,0
0.001604,0.000127443,0.00092368,0.002170086,1.50836E-06,6.814767305,49.80845398,1
0.000046,5.08123E-05,0.000665743,0.001112706,6.84163E-07,6.440615254,62.89926656,1
0.000143,9.89008E-05,0.000684069,0.001192418,1.45248E-06,6.648113752,52.06466062,1
0.001114,9.48917E-05,0.000895203,0.002022739,4.11861E-07,6.257508024,48.23382576,1
0.000093,3.98103E-05,0.000681961,0.001164774,3.98056E-07,5.893667774,62.48510166,1
0.000767,0.000131487,0.001034144,0.002712512,3.46171E-06,2.807649889,16.44899554,0
0.000399,3.73281E-05,0.000801118,0.001605385,1.27069E-06,0.419143405,8.762203825,0
-0.000924,1.84489E-05,0.000770754,0.001483629,-4.21E-07,0.049314818,9.420312384,0
0.001063,2.9659E-05,0.000790705,0.00156273,2.26533E-06,0.147755714,9.051901383,0
-0.000504,7.30373E-05,0.000891657,0.001997763,2.9561E-06,0.915701145,8.947095521,0
0.001119,7.44062E-05,0.000890265,0.001992079,1.64084E-07,1.047613916,12.38439362,0
-0.000303,9.77954E-05,0.000975699,0.002400035,3.70308E-06,1.254609544,9.472664482,0
0.001688,6.55825E-05,0.000936575,0.002200159,2.64421E-06,1.825006455,19.04571062,0
-0.000522,4.97877E-05,0.000883649,0.001955153,4.93337E-06,0.341476353,8.690077107,0
0.001717,0.000318293,0.001760959,0.007992906,1.42865E-07,5.253330712,26.94566381,0
0.002682,0.000410483,0.002253667,0.013097789,1.57589E-06,5.199889045,26.11943646,0
0.002543,0.000317147,0.001842744,0.008726736,9.00245E-08,5.851340924,35.60055191,0
0.000166,7.66367E-05,0.000560401,0.000798527,1.14747E-06,4.277092123,25.54416004,0
0.001343,0.000133091,0.000933737,0.002220389,1.18095E-06,5.844147368,39.34944066,0
-0.001582,6.51794E-05,0.001236985,0.003829811,6.42001E-06,0.122287766,9.491054581,0
-0.000587,5.84218E-05,0.001274716,0.004064269,-4.45E-06,0.019676874,9.112203391,0
0.002076,9.35325E-05,0.001261519,0.003994043,4.22873E-06,0.454165106,9.270882766,0
-0.000124,8.60086E-05,0.001268153,0.004032564,1.01459E-05,0.835120791,10.91905375,0
-0.000771,4.1551E-05,0.001227009,0.003762163,1.32025E-05,-0.199253121,10.33353,0
0.001865,0.000106431,0.001335956,0.004483083,9.93068E-06,1.842551472,19.34508705,0
-0.001084,5.3856E-05,0.001191907,0.003553162,5.5643E-06,0.048540204,9.292999834,0
