,IMF_mean,IMF_std,IMF_energy,IMF_max,IMF_min,IMF_median,IMF_skewness,IMF_kurtosis,Label
b8_13,9.98052E-05,0.000222892,0.001176852,0.00065304,-0.00030177,1.94923E-05,1.132009155,0.143193309,0
b13_18,5.13131E-05,0.000180392,0.001214607,0.000495248,-0.000463969,1.38823E-05,0.344141856,0.247874224,0
b18_23,5.15872E-05,0.000168289,0.00106986,0.000663863,-0.000395226,1.29615E-05,0.941380723,1.268248406,0
b23_28,5.03097E-05,0.000171782,0.001106376,0.000602377,-0.000492157,1.38774E-05,0.607026482,0.80862426,0
b28_33,3.78205E-05,0.000171309,0.001062767,0.00067048,-0.000676832,1.58154E-05,0.233866413,1.789344838,0
b33_38,6.38822E-05,0.000190947,0.001199949,0.000870153,-0.000400178,1.37132E-05,1.926520723,4.319657744,0
b38_43,6.64736E-05,0.000194271,0.001039879,0.000746972,-0.000325489,7.60068E-06,1.736320385,2.581016279,0
b43_48,6.01766E-05,0.000181217,0.001079164,0.000666883,-0.00055713,1.51242E-05,0.680650774,1.015217851,0
b48_53,4.9872E-05,0.000171514,0.001101681,0.000709659,-0.000512524,1.10417E-05,0.857583437,1.97781588,0
b53_58,8.54494E-05,0.000212211,0.001032677,0.000682127,-0.000312265,1.79129E-05,1.368042209,1.069175315,0
b58_63,4.13784E-05,0.000162224,0.00096786,0.000455434,-0.000482723,1.21577E-05,0.080777536,0.317673326,0
b65_70,8.25389E-05,0.000203289,0.000949882,0.000686302,-0.00031066,1.96544E-05,1.371463392,1.250330586,0
r4_9,4.80193E-05,0.000175882,0.001311801,0.000794235,-0.000475177,3.61995E-06,1.214572842,3.484929924,1
r9_14,4.75341E-05,0.000167743,0.001199591,0.000736319,-0.000561779,2.82002E-06,2.00644262,5.394269716,1
r14_19,3.68292E-05,0.00019012,0.001479983,0.000786154,-0.000700038,2.84261E-06,1.050086602,4.840704527,1
r19_24,4.96798E-05,0.00018212,0.001406335,0.000838997,-0.000642952,4.24657E-06,1.651223052,5.28615426,1
r24_29,4.63901E-05,0.00022696,0.00211776,0.000980371,-0.000929765,3.67901E-06,0.733609475,4.894071541,1
r29_34,3.66409E-05,0.000210414,0.001800217,0.000934749,-0.000772014,2.89343E-06,0.877975955,5.295255591,1
r34_39,4.42062E-05,0.000266417,0.002878205,0.000930287,-0.001149788,5.15959E-06,-0.298373957,3.649218318,1
r39_44,4.12807E-05,0.000224587,0.002057795,0.000954462,-0.000810261,4.49619E-06,0.274079357,3.733840981,1
r8_13b,5.21949E-05,0.000175097,0.001152755,0.000830999,-0.00041517,5.11027E-06,1.994038325,4.567992864,1
r13_18b,3.5325E-05,0.000161296,0.001075954,0.000690911,-0.000671671,6.73223E-06,0.62384932,4.519186016,1
r18_23b,3.94661E-05,0.000172618,0.001237378,0.000600802,-0.000587879,7.64258E-06,0.117022778,2.262582268,1
r23_28b,3.96931E-05,0.000203847,0.001702051,0.00080247,-0.000795138,6.99765E-06,0.110767944,2.951718426,1
SB1,8.33129E-05,0.000175433,0.000744245,0.000584994,-0.000257391,1.07598E-05,1.375787321,0.630248945,0
SB2,0.000184805,0.000219502,0.000812307,0.000692281,-0.00016571,3.17047E-05,0.579849023,-1.238185113,0
SB3,8.10675E-05,0.000171305,0.000708719,0.000590123,-0.00019163,1.23763E-05,1.366093998,0.64757373,0
SB4,7.80419E-05,0.000165959,0.000663647,0.000578709,-0.000226013,1.33741E-05,1.421111995,1.072125729,0
SB5,0.000144389,0.000201788,0.000607414,0.000654587,-0.000342414,2.57703E-05,0.696530653,-0.800752848,0
SB6,9.97388E-05,0.000199541,0.000981953,0.000706154,-0.000194159,1.20941E-05,1.343314547,0.399582937,0
SB7,9.92361E-05,0.000179188,0.00062091,0.000687237,-0.000306914,1.19967E-05,1.288741666,0.412155745,0
SB8,0.000200945,0.000238541,0.000959773,0.000769211,-0.000198354,3.0342E-05,0.580327829,-1.248545239,0
SR1,6.18397E-05,0.000293508,0.003106783,0.001106816,-0.001053741,6.58499E-06,-0.130201827,2.6979177,1
SR2,4.77605E-05,0.000292845,0.00304008,0.001068562,-0.001075958,6.41939E-06,-0.305506188,2.160476816,1
